#ÁöÁ¡,ÀÏ½Ã,Æò±Õ±â¿Â(¡ÆC),Æò±Õ Ç³¼Ó(m/s),Æò±Õ »ó´ë½Àµµ(%)
108,2018-01-01,-1.3,1.4,39.1
108,2018-01-02,-1.8,1.8,42
108,2018-01-03,-4.7,2.2,42.3
108,2018-01-04,-4.7,1.4,43
108,2018-01-05,-3,1.7,48.4
108,2018-01-06,-2.8,1.5,45.8
108,2018-01-07,-0.8,0.8,42.1
108,2018-01-08,1.3,1.8,51.9
108,2018-01-09,-4.2,2.9,59.4
108,2018-01-10,-7.5,3,52
108,2018-01-11,-11.1,2.8,49.8
108,2018-01-12,-10.2,1.7,35.4
108,2018-01-13,-4.4,0.8,67.3
108,2018-01-14,0.6,1.2,64.1
108,2018-01-15,4.7,1.4,63.9
108,2018-01-16,3.5,0.7,59.1
108,2018-01-17,4.5,1.2,64.1
108,2018-01-18,2.1,1.9,59.6
108,2018-01-19,1,1.6,43
108,2018-01-20,2.2,1.6,57.6
108,2018-01-21,0.4,1,36.6
108,2018-01-22,0.2,1.5,56.5
108,2018-01-23,-11.7,3.7,42
108,2018-01-24,-14.2,3.4,31.6
108,2018-01-25,-14,2.8,32.6
108,2018-01-26,-14.8,2.6,34.9
108,2018-01-27,-9.9,1.4,37.4
108,2018-01-28,-6.3,2.6,36
108,2018-01-29,-8.5,2.7,35
108,2018-01-30,-5.3,1.3,62
108,2018-01-31,-2.6,1.6,54.5
108,2018-02-01,-4,1.6,44.1
108,2018-02-02,-2.4,1.6,51.1
108,2018-02-03,-7.3,3.8,47
108,2018-02-04,-9.5,3.1,40.9
108,2018-02-05,-9.4,3,37.8
108,2018-02-06,-10.1,3.1,36.5
108,2018-02-07,-8,1.5,39.8
108,2018-02-08,-4.4,1.2,43.3
108,2018-02-09,0.4,1.1,43.9
108,2018-02-10,-0.5,3,47.4
108,2018-02-11,-6.1,2.7,42.5
108,2018-02-12,-5.8,2.7,40.8
108,2018-02-13,-0.8,2.7,54.5
108,2018-02-14,3.5,2.6,51
108,2018-02-15,-0.7,2.5,28
108,2018-02-16,-1.1,2.1,40.1
108,2018-02-17,-3,2.9,25.6
108,2018-02-18,-0.4,1.3,26.9
108,2018-02-19,1.8,1.5,48.6
108,2018-02-20,0.9,2.5,41
108,2018-02-21,-0.9,2.3,31.5
108,2018-02-22,1.3,2.2,59
108,2018-02-23,4.2,1.9,81.1
108,2018-02-24,2.4,2.1,49.4
108,2018-02-25,1.9,1.7,40.6
108,2018-02-26,3.1,1.4,43.1
108,2018-02-27,4.2,0.9,48.8
108,2018-02-28,4.6,2,73.3
108,2018-03-01,-0.2,3.8,61.9
108,2018-03-02,-0.7,1.5,34
108,2018-03-03,7.9,1.5,38.1
108,2018-03-04,9.8,1.2,89.1
108,2018-03-05,5.5,2,67.5
108,2018-03-06,4.5,1.6,46.8
108,2018-03-07,6.4,1.8,54
108,2018-03-08,4.6,1.9,76
108,2018-03-09,4.5,1.5,63.3
108,2018-03-10,4.6,2,65.8
108,2018-03-11,6.4,2,51.3
108,2018-03-12,8,1.4,45.8
108,2018-03-13,12.4,1.8,60.5
108,2018-03-14,17,2.3,58.8
108,2018-03-15,12.4,2.1,92.1
108,2018-03-16,7.1,1.9,46.9
108,2018-03-17,6.6,1.5,48
108,2018-03-18,8.2,1.2,55.9
108,2018-03-19,8,2.5,64.5
108,2018-03-20,4.7,3.4,39.9
108,2018-03-21,2.1,1.7,64.1
108,2018-03-22,4.9,2.2,61.5
108,2018-03-23,6.1,2,55.3
108,2018-03-24,7.6,2.1,61.9
108,2018-03-25,9.6,1.7,65.6
108,2018-03-26,11,1.9,64.5
108,2018-03-27,13.3,1.6,61.1
108,2018-03-28,14,2.2,66.4
108,2018-03-29,15.4,1.6,66.3
108,2018-03-30,14.8,1.7,55.6
108,2018-03-31,14,1.9,52.9
108,2018-04-01,15.6,1.5,68.8
108,2018-04-02,18.4,1.9,64
108,2018-04-03,17.8,2.1,72.9
108,2018-04-04,13.4,1.9,67
108,2018-04-05,7.6,2,90.6
108,2018-04-06,5.8,3.1,71.6
108,2018-04-07,4.2,4.1,45.5
108,2018-04-08,3.9,1.8,59.6
108,2018-04-09,7.9,1.1,57.9
108,2018-04-10,15.1,3.5,51
108,2018-04-11,12.6,3,49.4
108,2018-04-12,13.3,2.6,30.5
108,2018-04-13,14.6,1.3,22.9
108,2018-04-14,9,1.8,78.8
108,2018-04-15,9.5,2.4,65.5
108,2018-04-16,11.6,1.6,41.9
108,2018-04-17,12.9,1.9,37.9
108,2018-04-18,12.4,1.9,35.4
108,2018-04-19,14,1.9,38.8
108,2018-04-20,18.4,1.3,46
108,2018-04-21,18.7,1.9,32
108,2018-04-22,15.5,1.1,57.4
108,2018-04-23,9.3,2.2,93.9
108,2018-04-24,12.1,1.4,63.3
108,2018-04-25,14.6,1.5,37.8
108,2018-04-26,14.9,2.1,51.9
108,2018-04-27,15.7,1.7,52.9
108,2018-04-28,15.4,2,49
108,2018-04-29,16.2,1.9,43.1
108,2018-04-30,19.2,1.6,61.6
108,2018-05-01,20.4,1.5,72.8
108,2018-05-02,15.1,1.9,90.4
108,2018-05-03,11.2,2.7,62.4
108,2018-05-04,14.1,2.7,45.5
108,2018-05-05,18.3,2.6,46.8
108,2018-05-06,16.6,1.1,86.4
108,2018-05-07,19.2,1.2,60.3
108,2018-05-08,17.5,1.7,50.9
108,2018-05-09,15.7,1.7,50.4
108,2018-05-10,15.4,2.3,67.4
108,2018-05-11,16.1,1.8,59.8
108,2018-05-12,14.2,0.9,89.3
108,2018-05-13,15.8,1.9,82.5
108,2018-05-14,18.2,1.4,71.4
108,2018-05-15,23.2,1.1,56.4
108,2018-05-16,22.3,1.9,93.8
108,2018-05-17,20.9,1.4,97
108,2018-05-18,16.3,1.3,86.8
108,2018-05-19,17.6,1.5,47.5
108,2018-05-20,17,1.4,32.1
108,2018-05-21,17.8,1.4,43.9
108,2018-05-22,18.1,1.1,75.5
108,2018-05-23,17.3,2.5,57.1
108,2018-05-24,18.3,2.2,47.4
108,2018-05-25,19.7,1.8,47.4
108,2018-05-26,21.8,1.4,50.1
108,2018-05-27,20.3,1.7,47.4
108,2018-05-28,22.3,1.6,49.8
108,2018-05-29,21.4,1.8,69.3
108,2018-05-30,20.2,1.9,69.8
108,2018-05-31,20.9,1.9,58.9
108,2018-06-01,23.8,1.9,50.4
108,2018-06-02,23.4,2,44.5
108,2018-06-03,24,1.6,39.4
108,2018-06-04,22.6,1.9,50.1
108,2018-06-05,23.7,1.7,52.5
108,2018-06-06,23,2,62.9
108,2018-06-07,22.2,2,69.3
108,2018-06-08,21.9,2.1,68
108,2018-06-09,23.7,1.4,60.6
108,2018-06-10,21.3,1.4,59.9
108,2018-06-11,20.2,1.4,67.3
108,2018-06-12,21.3,1.7,65.5
108,2018-06-13,22,1.5,64
108,2018-06-14,21.6,1.1,74.9
108,2018-06-15,21.7,1.4,60.8
108,2018-06-16,22.5,1.4,56.4
108,2018-06-17,22.8,1.3,66.9
108,2018-06-18,24.8,1.5,54.9
108,2018-06-19,22.4,1.8,61.3
108,2018-06-20,22.7,2.3,68.1
108,2018-06-21,23.7,2.2,60.1
108,2018-06-22,25,1.8,45.1
108,2018-06-23,24.5,2,50.6
108,2018-06-24,25.2,1.9,62.8
108,2018-06-25,27.1,1.2,57.1
108,2018-06-26,22.3,2.4,88.3
108,2018-06-27,22.3,2,81.9
108,2018-06-28,23.3,1.1,85.1
108,2018-06-29,24.7,1.5,78.5
108,2018-06-30,24.4,0.9,83.8
108,2018-07-01,21.9,0.8,94.6
108,2018-07-02,22.6,0.7,95.4
108,2018-07-03,27.4,0.8,74.4
108,2018-07-04,27.3,1.7,69.6
108,2018-07-05,25.3,1.2,72.8
108,2018-07-06,23.9,1.8,57.8
108,2018-07-07,23.7,1.6,51.4
108,2018-07-08,23.3,1.5,51.5
108,2018-07-09,20.8,1.1,82.3
108,2018-07-10,23.7,0.7,87.8
108,2018-07-11,26.8,1.3,82.9
108,2018-07-12,26.6,1.5,82.4
108,2018-07-13,27.3,1.8,74.8
108,2018-07-14,27.9,1.9,69.6
108,2018-07-15,28.3,1.6,69.6
108,2018-07-16,28.7,1.7,64.3
108,2018-07-17,28.1,1.7,66.5
108,2018-07-18,28.2,1.6,64.8
108,2018-07-19,28.7,1.6,64.1
108,2018-07-20,29.5,1.5,62.6
108,2018-07-21,30.6,1.5,53.6
108,2018-07-22,31.8,1.4,49.6
108,2018-07-23,31.7,1.8,53.8
108,2018-07-24,31.4,1.6,59.5
108,2018-07-25,30.1,2.4,66.3
108,2018-07-26,30.1,1.5,68.8
108,2018-07-27,30.9,1.9,69.3
108,2018-07-28,29.5,1.2,77.1
108,2018-07-29,31.3,1.2,52.4
108,2018-07-30,31.7,1.2,50.9
108,2018-07-31,32.6,1.5,50.5
108,2018-08-01,33.6,1.7,55.5
108,2018-08-02,33.7,1.6,54.4
108,2018-08-03,33.1,1.9,55.3
108,2018-08-04,31.1,2.4,60.6
108,2018-08-05,30,2.6,71.8
108,2018-08-06,30.5,1.6,71.6
108,2018-08-07,30.5,1.5,63.4
108,2018-08-08,31,2.1,64.8
108,2018-08-09,28.8,1.5,76.3
108,2018-08-10,30.7,1.4,60.9
108,2018-08-11,31,1.5,55.8
108,2018-08-12,30.6,1.5,61.3
108,2018-08-13,30.5,1.4,68.6
108,2018-08-14,31.7,1.3,58.3
108,2018-08-15,31.7,1.2,59.5
108,2018-08-16,29.9,1.7,51
108,2018-08-17,27.2,1.8,39.8
108,2018-08-18,26.7,1.4,44.6
108,2018-08-19,28.2,1.2,50.6
108,2018-08-20,29.1,2,55.6
108,2018-08-21,26.6,2.5,71.4
108,2018-08-22,30.7,1.1,54.1
108,2018-08-23,29.4,1.7,59.1
108,2018-08-24,24.4,2.5,86.3
108,2018-08-25,25.2,2.6,68
108,2018-08-26,23.2,1.2,70
108,2018-08-27,22.7,0.8,91
108,2018-08-28,23.7,0.9,92.4
108,2018-08-29,25.2,2.4,86
108,2018-08-30,25.3,1.8,80.9
108,2018-08-31,25.6,1.6,67.4
108,2018-09-01,25.5,1.3,59.4
108,2018-09-02,25.1,1.5,55.8
108,2018-09-03,23.3,1,85.3
108,2018-09-04,23.2,2.2,69.4
108,2018-09-05,24,2.5,63.5
108,2018-09-06,24.1,2,69.9
108,2018-09-07,22,2.5,54.6
108,2018-09-08,21.7,1.7,48.8
108,2018-09-09,22.2,1.2,49
108,2018-09-10,22.9,1.6,49.5
108,2018-09-11,21.6,1.5,48.1
108,2018-09-12,22.8,1.4,52
108,2018-09-13,23.5,1.2,63.5
108,2018-09-14,23.5,1.3,66.9
108,2018-09-15,23.3,1,76
108,2018-09-16,22.2,1.7,83.6
108,2018-09-17,22.3,1.9,64.3
108,2018-09-18,22,1.2,59.8
108,2018-09-19,22.1,1,59.1
108,2018-09-20,19,1.8,82.4
108,2018-09-21,19.4,1.3,85.8
108,2018-09-22,20.8,1.8,62.3
108,2018-09-23,19.4,1.6,52.9
108,2018-09-24,17.6,2.1,48.3
108,2018-09-25,17.8,1.1,48
108,2018-09-26,19.4,1.7,47.9
108,2018-09-27,18.9,1.3,47.6
108,2018-09-28,17.5,1.2,58.1
108,2018-09-29,20.2,1,55.5
108,2018-09-30,17.6,2.3,52.5
108,2018-10-01,15.4,2.9,55.1
108,2018-10-02,15.9,1.6,61.4
108,2018-10-03,17.3,1.3,58
108,2018-10-04,19.3,1.3,56.5
108,2018-10-05,16.9,1.7,84.1
108,2018-10-06,18,2.2,84
108,2018-10-07,16.4,1.7,53.5
108,2018-10-08,14.8,1.1,47
108,2018-10-09,15.3,1.1,52.5
108,2018-10-10,12,2.5,61
108,2018-10-11,9.7,2.1,51
108,2018-10-12,10.9,1.3,54
108,2018-10-13,12.5,1,54
108,2018-10-14,13.2,1.5,60
108,2018-10-15,15.2,1.4,69.9
108,2018-10-16,14.5,1.3,55.9
108,2018-10-17,12.4,1.3,53.3
108,2018-10-18,12.7,1.1,59.5
108,2018-10-19,13.1,1.4,54.3
108,2018-10-20,13.4,1.2,53.9
108,2018-10-21,13.4,1.1,49.5
108,2018-10-22,14,1,50
108,2018-10-23,12.2,1.1,75.1
108,2018-10-24,12.5,1.3,66
108,2018-10-25,13.8,0.9,55.5
108,2018-10-26,12.2,1.6,74.1
108,2018-10-27,8.7,3.2,49.6
108,2018-10-28,8.3,1.5,77.1
108,2018-10-29,7.2,2,57.3
108,2018-10-30,6.1,1.6,51.3
108,2018-10-31,7.4,1.6,55.4
108,2018-11-01,8.4,1.3,53.4
108,2018-11-02,10.6,1.1,54.9
108,2018-11-03,11.2,1.3,56
108,2018-11-04,11.6,1.3,55
108,2018-11-05,11.9,1.1,65.5
108,2018-11-06,12.2,0.9,70.5
108,2018-11-07,12.8,1.1,79.5
108,2018-11-08,11.8,1.8,93.8
108,2018-11-09,12.1,3.1,69
108,2018-11-10,11.9,1.4,69.1
108,2018-11-11,8.1,1.1,67.6
108,2018-11-12,8.1,1.2,52.3
108,2018-11-13,8.8,1.1,51.6
108,2018-11-14,9.8,1.1,55.5
108,2018-11-15,9.7,1,55.4
108,2018-11-16,8.8,1.7,65.1
108,2018-11-17,4.9,1.4,50.8
108,2018-11-18,6.1,1.1,48.8
108,2018-11-19,6.5,1.4,50.4
108,2018-11-20,6.5,1.8,39.9
108,2018-11-21,5.8,1.2,57.1
108,2018-11-22,2.3,2.4,35
108,2018-11-23,1.9,1.4,29.6
108,2018-11-24,2.6,1.8,71.1
108,2018-11-25,4.8,1,77.8
108,2018-11-26,6.3,1,70.1
108,2018-11-27,7.1,1.5,65
